head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	complement_correlation	transcription	complement_transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	gene_complement_transcription	same_strand	gene_stream	head_stream
head0	SM_V7_ZW	20313810	20314310	-	3183	500	Smp_134290	olap	0.0		0.8209943778188349	0.0	0.3089907358347745		20300499.0	20331294.0	+	30795	1.2878862172708887	0.002346613489624012	False	olap	olap
head1	SM_V7_ZW	17123608	17124108	-	3186	500	Smp_343250	hg	9299.0			0.0	0.004983721545722169		17133407.0	17184102.0	-	50695	0.06316285813446086	0.012927495478103663	True	gh	gh
head2	SM_V7_ZW	57478948	57479448	-	3180	500	Smp_244380	olap	0.0			0.004983721545722169	0.0		57400306.0	57496018.0	-	95712	0.8842783679186176	0.003410583429923124	True	olap	olap
head3	SM_V7_ZW	14905445	14905945	-	3186	500	Smp_346990	olap	0.0		0.6718088576996794	0.009967443091444338	0.22925119110321976		14888566.0	14917334.0	+	28768	1.4835268164902595	0.0019922413019954443	False	olap	olap
head4	SM_V7_ZW	57956100	57956600	+	3183	500	Smp_244370	olap	0.0		-0.10464973150504832	0.004983721545722169	0.0946907093687212		57878821.0	57986377.0	-	107556	0.12383312721691488	0.0021082908469109924	False	olap	olap
head5	SM_V7_ZW	39103231	39103731	-	3186	500	Smp_079960	gh	2834.0			0.0	0.0		39097332.0	39100397.0	-	3065	1.3365804602230418	0.0032520205844842865	True	hg	hg
head6	SM_V7_ZW	8039240	8039740	+	3183	500	Smp_303950	olap	0.0		0.02804510815188848	0.0	0.12459303864305422		7972240.0	8041705.0	-	69465	0.6469547115604931	0.0076766458704710565	False	olap	olap
head7	SM_V7_ZW	84622062	84622562	+	3183	500	Smp_026540	olap	0.0			0.009967443091444338	0.009967443091444338		84545876.0	84641919.0	+	96043	0.3402461623991364	0.023324790300200064	True	olap	olap
head8	SM_V7_ZW	2749682	2750182	-	3186	500	Smp_130660	olap	0.0		0.1479888738595028	0.0	0.019934886182888675		2718322.0	2780093.0	+	61771	0.11694653446640467	0.0035499465446856204	False	olap	olap
head9	SM_V7_ZW	67334580	67335080	+	3183	500	Smp_244080	gh	9526.0		0.3427664367601369	0.0	0.06977210164011037		67105199.0	67325054.0	-	219855	0.2950042173069901	0.006075083005860868	False	hg	gh
head10	SM_V7_ZW	73828343	73828843	-	3183	500	Smp_345400	gh	15268.0			0.0	0.009967443091444338		73797076.0	73813075.0	+	15999	1.806711979823025	0.0066972944079646615	False	gh	hg
head11	SM_V7_ZW	38967507	38968007	+	3186	500	Smp_242440	olap	0.0		0.3467784533583617	0.004983721545722169	0.059804658548666026		38942546.0	38971377.0	-	28831	0.08314557467629853	0.01400164563155963	False	olap	olap
head12	SM_V7_ZW	50022717	50023217	+	3183	500	Smp_074710	olap	0.0	0.3561168800407774		0.0797395447315547	0.0		50001606.0	50045703.0	+	44097	0.4130215295562434	0.007911207297561099	True	olap	olap
head13	SM_V7_ZW	9141239	9141739	+	3183	500	Smp_343570	gh	3699.0	0.4306066610557915		0.14951164637166506	0.004983721545722169		9129146.0	9137540.0	+	8394	13.28695550056188	0.01187448545561632	True	gh	gh
head14	SM_V7_ZW	44733261	44733761	-	3183	500	Smp_347230	olap	0.0			0.004983721545722169	0.009967443091444338		44726095.0	44741993.0	+	15898	0.11065880649389392	0.014263387239297943	False	olap	olap
head15	SM_V7_ZW	65666091	65666591	+	3183	500	Smp_244200	olap	0.0	0.006402915903367289	0.4458598107621924	0.03488605082005518	0.3289256220176631		65658392.0	65705473.0	-	47081	0.8665224734666145	0.014925442066796073	False	olap	olap
head16	SM_V7_ZW	50263254	50263754	-	3183	500	Smp_347620	olap	0.0	0.4003362945447707		0.09967443091444338	0.0		50249648.0	50275452.0	-	25804	0.09289916538104027	0.0018348068006650371	True	olap	olap
head17	SM_V7_ZW	75574042	75574542	-	3186	500	Smp_143870	hg	1285.0			0.014951164637166506	0.0		75575827.0	75576296.0	+	469	0.021252543904998592	0.005313135976249647	False	hg	gh
head18	SM_V7_ZW	64029237	64029737	-	3186	500	Smp_345350	hg	9606.0			0.0	0.0		64039343.0	64053184.0	+	13841	2.698360614380604	0.01854357774761157	False	hg	gh
