head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	complement_correlation	transcription	complement_transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	gene_complement_transcription	same_strand	gene_stream	head_stream
head0	SM_V7_ZW	20314110	20314310	-	3183	200	Smp_134290	olap	0.0			0.0	0.10498947883634263	0.0	20300499.0	20331294.0	+	30795	1.2816250977157957	0.0013637211084441324	False	olap	olap
head1	SM_V7_ZW	17123908	17124108	-	3186	200	Smp_343250	hg	9299.0			0.0	0.0	0.0	17133407.0	17184102.0	-	50695	0.07811821958194781	0.00977513246094363	True	gh	gh
head2	SM_V7_ZW	57479248	57479448	-	3180	200	Smp_244380	olap	0.0			0.0	0.0	0.0	57400306.0	57496018.0	-	95712	0.8285340725788441	0.0017989671649490337	True	olap	olap
head3	SM_V7_ZW	14905745	14905945	-	3186	200	Smp_346990	olap	0.0		0.4489232745738482	0.0	0.3149684365090279	0.0	14888566.0	14917334.0	+	28768	1.9355610398930296	0.0011678473730405187	False	olap	olap
head4	SM_V7_ZW	57956100	57956300	+	3183	200	Smp_244370	olap	0.0		0.3258333517868177	0.020997895767268532	0.1469852703708797	0.0	57878821.0	57986377.0	-	107556	0.11795649357156872	0.002811276907366087	False	olap	olap
head5	SM_V7_ZW	39103531	39103731	-	3186	200	Smp_079960	gh	3134.0			0.0	0.0	0.0	39097332.0	39100397.0	-	3065	1.2235641709736245	0.0	True	hg	hg
head6	SM_V7_ZW	8039240	8039440	+	3183	200	Smp_303950	olap	0.0		-0.034717607425918555	0.0	0.10498947883634263	0.0	7972240.0	8041705.0	-	69465	0.4928376773764429	0.001934593434254928	False	olap	olap
head7	SM_V7_ZW	84622062	84622262	+	3183	200	Smp_026540	olap	0.0			0.0	0.0	0.0	84545876.0	84641919.0	+	96043	0.40289164561625984	0.005028493514854556	True	olap	olap
head8	SM_V7_ZW	2749982	2750182	-	3186	200	Smp_130660	olap	0.0			0.0	0.041995791534537065	0.0	2718322.0	2780093.0	+	61771	0.11775219915141115	0.001835628970605139	False	olap	olap
head9	SM_V7_ZW	67334580	67334780	+	3183	200	Smp_244080	gh	9526.0			0.0	0.0	0.0	67105199.0	67325054.0	-	219855	0.2863518732320143	0.0019674633408643502	False	hg	gh
head10	SM_V7_ZW	73828643	73828843	-	3183	200	Smp_345400	gh	15568.0			0.0	0.041995791534537065	0.0	73797076.0	73813075.0	+	15999	1.747921594027641	0.007087232773501472	False	gh	hg
head11	SM_V7_ZW	38967507	38967707	+	3186	200	Smp_242440	olap	0.0			0.0	0.020997895767268532	0.0	38942546.0	38971377.0	-	28831	0.046466156219060466	0.0067004488591748635	False	olap	olap
head12	SM_V7_ZW	50022717	50022917	+	3183	200	Smp_074710	olap	0.0	0.35552410146790675		0.2099789576726853	0.0	0.0	50001606.0	50045703.0	+	44097	0.6511219056208583	0.005428396755943969	True	olap	olap
head13	SM_V7_ZW	9141239	9141439	+	3183	200	Smp_343570	gh	3699.0			0.020997895767268532	0.0	0.0	9129146.0	9137540.0	+	8394	12.844388325782342	0.007004301661705013	True	gh	gh
head14	SM_V7_ZW	44733561	44733761	-	3183	200	Smp_347230	olap	0.0			0.0	0.0	0.0	44726095.0	44741993.0	+	15898	0.1452867363441652	0.010830465800201404	False	olap	olap
head15	SM_V7_ZW	65666091	65666291	+	3183	200	Smp_244200	olap	0.0		0.3587376887144974	0.020997895767268532	0.6299368730180558	0.0	65658392.0	65705473.0	-	47081	1.0791297678146796	0.010703882636614443	False	olap	olap
head16	SM_V7_ZW	50263554	50263754	-	3183	200	Smp_347620	olap	0.0			0.10498947883634263	0.0	0.0	50249648.0	50275452.0	-	25804	0.10302021408061524	0.0026039864538544137	True	olap	olap
head17	SM_V7_ZW	75574342	75574542	-	3186	200	Smp_143870	hg	1285.0			0.0	0.0	0.0	75575827.0	75576296.0	+	469	0.0	0.0	False	hg	gh
head18	SM_V7_ZW	64029537	64029737	-	3186	200	Smp_345350	hg	9606.0			0.0	0.0	0.0	64039343.0	64053184.0	+	13841	3.144905565027647	0.021845943143462672	False	hg	gh
head19	SM_V7_ZW	69054659	69054859	+	3187	200	Smp_075420	gh	4081.0			0.0	0.0	0.0	69039005.0	69050578.0	-	11573	12.91589223268623	0.06531791649716298	False	hg	gh
head20	SM_V7_ZW	82027530	82027730	-	3183	200	Smp_342600	gh	694.0			0.0	0.0	0.0	82026037.0	82026836.0	-	799	52.30289381228764	0.031536263980878894	True	hg	hg
head21	SM_V7_ZW	19563515	19563715	-	3187	200	Smp_241480	hg	27357.0			0.0	0.0	0.0	19591072.0	19605409.0	-	14337	0.13093477586620678	0.00029291896166936635	True	gh	gh
head22	SM_V7_ZW	69296770	69296970	-	3206	200	Smp_162810	olap	0.0	0.6988002295668814		0.1469852703708797	0.0	0.0	69295833.0	69325700.0	-	29867	0.024466025134795757	0.001546702738406628	True	olap	olap
head23	SM_V7_ZW	38303828	38304028	-	3186	200	Smp_159110	gh	4697.0	0.5433152376751349		0.2729726449744909	0.020997895767268532	1.0	38282237.0	38299131.0	+	16894	3.813528104246082	0.03529893688826958	False	gh	hg
head24	SM_V7_ZW	50935386	50935586	+	3186	200	Smp_157840	olap	0.0			0.0	0.0	0.0	50909031.0	50943930.0	+	34899	0.0014440227468249653	0.0006016761445104022	True	olap	olap
head25	SM_V7_ZW	59897123	59897323	+	3183	200	Smp_212730	olap	0.0		0.28955512580313986	0.0	0.10498947883634263	0.0	59887869.0	59950893.0	-	63024	1.7279684978319607	0.003598268505434439	False	olap	olap
head26	SM_V7_ZW	79206873	79207073	-	3186	200	Smp_324200	hg	5148.0			0.0	0.0	0.0	79212221.0	79266732.0	+	54511	0.01186430609660198	0.0006933685381131029	False	hg	gh
head27	SM_V7_ZW	76582322	76582522	-	3189	200	Smp_139760	gh	1461.0			0.0	0.0	0.0	76534516.0	76580861.0	-	46345	0.984447684175662	0.0009967714033442825	True	hg	hg
head28	SM_V7_ZW	82462003	82462203	+	3183	200	Smp_345170	olap	0.0			0.041995791534537065	0.0	0.0	82448996.0	82467002.0	-	18006	1.2687832164160924	0.01772564787640129	False	olap	olap
head29	SM_V7_ZW	24842216	24842416	+	3187	200	Smp_153780	hg	12370.0			0.0	0.0	0.0	24854786.0	24929755.0	+	74969	2.6554555908484767	0.004761491123578611	True	hg	hg
head30	SM_V7_ZW	78496126	78496326	-	3184	200	Smp_146240	olap	0.0		0.4388604497904368	0.0	0.1469852703708797	0.0	78475339.0	78512572.0	+	37233	1.065995825726935	0.010715226266433056	False	olap	olap
head31	SM_V7_ZW	82610914	82611114	-	3186	200	Smp_160320	olap	0.0			0.0	0.0	4.0	82601011.0	82646985.0	-	45974	0.0249376845367569	0.005024075639273368	True	olap	olap
head32	SM_V7_ZW	2617198	2617398	-	3183	200	Smp_244820	olap	0.0			0.041995791534537065	0.041995791534537065	4.0	2580442.0	2644727.0	+	64285	0.12627808203509394	0.04115633299643517	False	olap	olap
head33	SM_V7_ZW	79559807	79560007	+	3190	200	Smp_163670	hg	684.0	0.0027789557499989922		0.10498947883634263	0.0	0.0	79560691.0	79587590.0	+	26899	0.2852385260924168	0.0071817034484133405	True	hg	hg
head34	SM_V7_ZW	8758683	8758883	-	3183	200	Smp_188430	olap	0.0		0.5326298895851052	0.0	0.2099789576726853	3.0	8754220.0	8771839.0	+	17619	0.8034951658035326	0.006912298964195328	False	olap	olap
head35	SM_V7_ZW	83572801	83573001	-	3186	200	Smp_316630	olap	0.0		0.9227378981496404	0.041995791534537065	20.199975728112324	0.0	83561967.0	83581893.0	+	19926	1.14399857698217	0.012013249610903404	False	olap	olap
head36	SM_V7_ZW	84386831	84387031	+	3183	200	Smp_136470	olap	0.0	0.5387168090281181		0.18898106190541675	0.0	0.0	84376596.0	84443213.0	+	66617	0.6184288018881194	0.006241024606210379	True	olap	olap
head37	SM_V7_ZW	56422521	56422721	+	3186	200	Smp_336650	olap	0.0			0.0	0.06299368730180559	1.0	56406756.0	56503826.0	-	97070	1.4868768553198408	0.004975292084549049	False	olap	olap
head38	SM_V7_ZW	47010631	47010831	-	3159	200	Smp_345880	olap	0.0			0.041995791534537065	0.020997895767268532	0.0	46975844.0	47064169.0	-	88325	0.10008620569510387	0.2153874165315062	True	olap	olap
head39	SM_V7_ZW	20703265	20703465	-	3183	200	Smp_092880	gh	8043.0			0.0	0.0	0.0	20687920.0	20695222.0	-	7302	23.56238815911324	0.020129453625154708	True	hg	hg
head40	SM_V7_ZW	84092785	84092985	-	3183	200	Smp_204040	gh	12692.0			0.0	0.0	0.0	84079893.0	84080093.0	-	200	0.0	0.0	True	hg	hg
head41	SM_V7_ZW	3495489	3495689	+	3183	200	Smp_015820	olap	0.0			0.0	0.0	0.0	3456939.0	3507926.0	+	50987	0.01095463603289746	0.0006589254756630053	True	olap	olap
head42	SM_V7_ZW	42620085	42620285	-	3186	200	Smp_323040	gh	7861.0			0.0	0.06299368730180559	0.0	42607735.0	42612224.0	+	4489	5.300694026168121	0.0028065799644377627	False	gh	hg
head43	SM_V7_ZW	71025565	71025765	-	3183	200	Smp_161110	gh	633.0			0.041995791534537065	0.020997895767268532	0.0	70956629.0	71024932.0	-	68303	2.0714144573423616	0.020289901185009774	True	hg	hg
head44	SM_V7_ZW	3862311	3862511	-	3185	200	Smp_244780	hg	11150.0			0.0	0.0	0.0	3873661.0	3905143.0	-	31482	0.8461320935886174	0.0012005657957271886	True	gh	gh
head45	SM_V7_ZW	47748297	47748497	-	3150	200	Smp_093800	gh	794.0			0.0	0.0	0.0	47735062.0	47747503.0	+	12441	1.0464348023234855	0.00877654995497117	False	gh	hg
head46	SM_V7_ZW	81115988	81116188	+	3188	200	Smp_345440	olap	0.0			0.0	0.041995791534537065	0.0	81004534.0	81177179.0	-	172645	0.8183882593692053	0.002116269723134017	False	olap	olap
head47	SM_V7_ZW	49827611	49827811	+	3183	200	Smp_131950	olap	0.0	-0.11342044270429785		0.10498947883634263	0.0	2.0	49791102.0	49848092.0	+	56990	1.6866111188673172	0.0076637345492048675	True	olap	olap
head48	SM_V7_ZW	46503142	46503342	-	3186	200	Smp_058530	hg	13988.0			0.0	0.0	0.0	46517330.0	46519736.0	-	2406	33.24579556767777	0.020945531937424964	True	gh	gh
head49	SM_V7_ZW	27825283	27825483	+	3108	200	Smp_168050	hg	3437.0			0.0	0.0	0.0	27828920.0	27859340.0	+	30420	7.567111510133397	0.008007087143337109	True	hg	hg
head50	SM_V7_ZW	84933565	84933765	+	3186	200	Smp_173650	hg	7143.0			0.0	0.020997895767268532	0.0	84940908.0	84959301.0	+	18393	2.01519521602688	0.040413500253428256	True	hg	hg
