head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	complement_correlation	transcription	complement_transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	gene_complement_transcription	same_strand	gene_stream	head_stream
head0	SM_V7_ZW	20314210	20314310	-	3183	100	Smp_134290	olap	0.0			0.0	0.18185131115941008	0.0	20300499.0	20331294.0	+	30795	1.1236456401173096	0.0015353577172088526	False	olap	olap
head1	SM_V7_ZW	17124008	17124108	-	3186	100	Smp_343250	hg	9299.0			0.0	0.0	0.0	17133407.0	17184102.0	-	50695	0.06923227745096389	0.016500957319918855	True	gh	gh
head2	SM_V7_ZW	57479365	57479465	-	3180	100	Smp_244380	olap	0.0			0.0	0.0	0.0	57400306.0	57496018.0	-	95712	0.7403859383629944	0.001823985066794484	True	olap	olap
head3	SM_V7_ZW	14905845	14905945	-	3186	100	Smp_346990	olap	0.0		-0.12010474904888525	0.0	0.36370262231882017	0.0	14888566.0	14917334.0	+	28768	1.6896849093753583	0.0012642610620092472	False	olap	olap
head4	SM_V7_ZW	57956100	57956200	+	3183	100	Smp_244370	olap	0.0			0.0	0.18185131115941008	0.0	57878821.0	57986377.0	-	107556	0.11101525801189024	0.002502323817508339	False	olap	olap
head5	SM_V7_ZW	39103631	39103731	-	3186	100	Smp_079960	gh	3234.0			0.0	0.0	0.0	39097332.0	39100397.0	-	3065	1.059662126364458	0.0	True	hg	hg
head6	SM_V7_ZW	8039240	8039340	+	3183	100	Smp_303950	olap	0.0			0.0	0.07274052446376403	0.0	7972240.0	8041705.0	-	69465	0.4366106913577545	0.0019372341504061536	False	olap	olap
head7	SM_V7_ZW	84622062	84622162	+	3183	100	Smp_026540	olap	0.0			0.0	0.0	0.0	84545876.0	84641919.0	+	96043	0.35460276703074994	0.0045063786070759565	True	olap	olap
head8	SM_V7_ZW	2750107	2750207	-	3186	100	Smp_130660	olap	0.0			0.0	0.07274052446376403	0.0	2718322.0	2780093.0	+	61771	0.10474607260772548	0.0016486172192334532	False	olap	olap
head9	SM_V7_ZW	67334580	67334680	+	3183	100	Smp_244080	gh	9526.0			0.0	0.0	0.0	67105199.0	67325054.0	-	219855	0.2522121480008521	0.0017700839456966527	False	hg	gh
head10	SM_V7_ZW	73828743	73828843	-	3183	100	Smp_345400	gh	15668.0			0.0	0.07274052446376403	0.0	73797076.0	73813075.0	+	15999	1.5312837451963075	0.006137865368215603	False	gh	hg
head11	SM_V7_ZW	38967507	38967607	+	3186	100	Smp_242440	olap	0.0			0.0	0.0	0.0	38942546.0	38971377.0	-	28831	0.040620250559002494	0.006685941862196064	False	olap	olap
head12	SM_V7_ZW	50022717	50022817	+	3183	100	Smp_074710	olap	0.0	0.4256002899032253		0.32733236008693817	0.0	0.0	50001606.0	50045703.0	+	44097	0.5852628995111567	0.004948671641864346	True	olap	olap
head13	SM_V7_ZW	9141239	9141339	+	3183	100	Smp_343570	gh	3699.0			0.03637026223188202	0.0	0.0	9129146.0	9137540.0	+	8394	11.256843135385928	0.006499332064310582	True	gh	gh
head14	SM_V7_ZW	44733661	44733761	-	3183	100	Smp_347230	olap	0.0			0.0	0.0	0.0	44726095.0	44741993.0	+	15898	0.12925649868545314	0.009379675125847042	False	olap	olap
head15	SM_V7_ZW	65666091	65666191	+	3183	100	Smp_244200	olap	0.0		0.19645739909934065	0.03637026223188202	0.8365160313332863	0.0	65658392.0	65705473.0	-	47081	0.9478624446914728	0.00981080117977319	False	olap	olap
head16	SM_V7_ZW	50263654	50263754	-	3183	100	Smp_347620	olap	0.0			0.18185131115941008	0.0	0.0	50249648.0	50275452.0	-	25804	0.09133440523275284	0.002255170499574145	True	olap	olap
