head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	complement_correlation	transcription	complement_transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	gene_complement_transcription	same_strand	gene_stream	head_stream
head0	SM_V7_ZW	20313060	20314310	-	3183	1250	Smp_134290	olap	0.0		0.9234924099292829	0.0	5.759188618236537	70.0	20300499.0	20331294.0	+	30795	1.2878862172708887	0.002346613489624012	False	olap	olap
head1	SM_V7_ZW	17122858	17124108	-	3186	1250	Smp_343250	hg	9299.0			0.0	0.0019934886182888674	0.0	17133407.0	17184102.0	-	50695	0.06316285813446086	0.012927495478103663	True	gh	gh
head2	SM_V7_ZW	57478198	57479448	-	3180	1250	Smp_244380	olap	0.0			0.0019934886182888674	0.0	0.0	57400306.0	57496018.0	-	95712	0.8842783679186177	0.003410583429923124	True	olap	olap
head3	SM_V7_ZW	14904695	14905945	-	3186	1250	Smp_346990	olap	0.0		0.6560575402055596	0.003986977236577735	0.1235962943339098	226.0	14888566.0	14917334.0	+	28768	1.4835268164902595	0.0019922413019954443	False	olap	olap
head4	SM_V7_ZW	57956100	57957350	+	3183	1250	Smp_244370	olap	0.0		0.07597256901857828	0.0019934886182888674	0.05781116993037716	45.0	57878821.0	57986377.0	-	107556	0.12383312721691488	0.0021082908469109924	False	olap	olap
head5	SM_V7_ZW	39102481	39103731	-	3186	1250	Smp_079960	gh	3034.0			0.0	0.0019934886182888674	3.0	39097332.0	39100397.0	-	3065	1.3365804602230418	0.0032520205844842865	True	hg	hg
head6	SM_V7_ZW	8039240	8040490	+	3183	1250	Smp_303950	olap	0.0		0.17192601301960114	0.0	0.09568745367786564	159.0	7972240.0	8041705.0	-	69465	0.6469547115604931	0.007676645870471057	False	olap	olap
head7	SM_V7_ZW	84622062	84623312	+	3183	1250	Smp_026540	olap	0.0	0.0989694382571184	-0.07175162318177222	0.01794139756459981	0.02591535203775528	155.0	84545876.0	84641919.0	+	96043	0.3402461623991364	0.023324790300200064	True	olap	olap
head8	SM_V7_ZW	2748932	2750182	-	3186	1250	Smp_130660	olap	0.0		0.060337945264118176	0.0	0.01594790894631094	10.0	2718322.0	2780093.0	+	61771	0.11694653446640467	0.0035499465446856204	False	olap	olap
head9	SM_V7_ZW	67334580	67335830	+	3183	1250	Smp_244080	gh	9526.0		0.5153968292722372	0.0019934886182888674	0.08771349920471018	150.0	67105199.0	67325054.0	-	219855	0.2950042173069901	0.0060750830058608676	False	hg	gh
head10	SM_V7_ZW	73827593	73828843	-	3183	1250	Smp_345400	gh	15468.0			0.0	0.003986977236577735	297.0	73797076.0	73813075.0	+	15999	1.806711979823025	0.0066972944079646615	False	gh	hg
head11	SM_V7_ZW	38967507	38968757	+	3186	1250	Smp_242440	olap	0.0		0.3754052417272761	0.003986977236577735	0.02591535203775528	0.0	38942546.0	38971377.0	-	28831	0.08314557467629853	0.014001645631559631	False	olap	olap
head12	SM_V7_ZW	50022717	50023967	+	3183	1250	Smp_074710	olap	0.0	0.646906472965839		0.06977210164011036	0.0	601.0	50001606.0	50045703.0	+	44097	0.4130215295562433	0.007911207297561099	True	olap	olap
head13	SM_V7_ZW	9141239	9142489	+	3183	1250	Smp_343570	gh	3699.0	0.4595945874446143		0.0677786130218215	0.0019934886182888674	0.0	9129146.0	9137540.0	+	8394	13.28695550056188	0.01187448545561632	True	gh	gh
head14	SM_V7_ZW	44732511	44733761	-	3183	1250	Smp_347230	olap	0.0		-0.1582244280784637	0.003986977236577735	0.009967443091444338	0.0	44726095.0	44741993.0	+	15898	0.11065880649389392	0.014263387239297943	False	olap	olap
head15	SM_V7_ZW	65666091	65667341	+	3183	1250	Smp_244200	olap	0.0	-0.03367302917673872	0.7694054365629339	0.021928374801177545	0.29104933827017465	0.0	65658392.0	65705473.0	-	47081	0.8665224734666143	0.014925442066796073	False	olap	olap
head16	SM_V7_ZW	50262504	50263754	-	3183	1250	Smp_347620	olap	0.0	0.7475078544095326		0.1235962943339098	0.0019934886182888674	480.0	50249648.0	50275452.0	-	25804	0.09289916538104027	0.0018348068006650367	True	olap	olap
head17	SM_V7_ZW	75573292	75574542	-	3186	1250	Smp_143870	hg	1285.0			0.005980465854866603	0.0	31.0	75575827.0	75576296.0	+	469	0.021252543904998592	0.005313135976249647	False	hg	gh
head18	SM_V7_ZW	64028487	64029737	-	3186	1250	Smp_345350	hg	9606.0			0.0	0.0	0.0	64039343.0	64053184.0	+	13841	2.698360614380604	0.01854357774761156	False	hg	gh
head19	SM_V7_ZW	69054659	69055909	+	3187	1250	Smp_075420	gh	4081.0	0.2450832415111621		0.01794139756459981	0.0	38.0	69039005.0	69050578.0	-	11573	12.159367628532893	0.07729871402895785	False	hg	gh
head20	SM_V7_ZW	82026480	82027730	-	3183	1250	Smp_342600	gh	594.0	0.9381232554426387	0.11634368667777628	15.93395452598292	0.013954420328022072	7.0	82026037.0	82026836.0	-	799	45.96687851213958	0.034305968086948586	True	hg	hg
head21	SM_V7_ZW	19562465	19563715	-	3187	1250	Smp_241480	hg	27357.0	0.6597172712391574	0.4648671266556935	0.019934886182888675	0.00797395447315547	570.0	19591072.0	19605409.0	-	14337	0.25566905188523786	0.0005214188685626876	True	gh	gh
