head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	complement_correlation	transcription	complement_transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	gene_complement_transcription	same_strand	gene_stream	head_stream
head0	SM_V7_ZW	20313310	20314310	-	3183	1000	Smp_134290	olap	0.0		0.9658028205815776	0.0	4.667255227568812	51.0	20300499.0	20331294.0	+	30795	1.2878862172708887	0.002346613489624012	False	olap	olap
head1	SM_V7_ZW	17123108	17124108	-	3186	1000	Smp_343250	hg	9299.0			0.0	0.0024918607728610844	0.0	17133407.0	17184102.0	-	50695	0.06316285813446086	0.012927495478103663	True	gh	gh
head2	SM_V7_ZW	57478448	57479448	-	3180	1000	Smp_244380	olap	0.0			0.0024918607728610844	0.0	0.0	57400306.0	57496018.0	-	95712	0.8842783679186177	0.003410583429923124	True	olap	olap
head3	SM_V7_ZW	14904945	14905945	-	3186	1000	Smp_346990	olap	0.0		0.7386491538770691	0.004983721545722169	0.1295767601887764	182.0	14888566.0	14917334.0	+	28768	1.4835268164902595	0.0019922413019954443	False	olap	olap
head4	SM_V7_ZW	57956100	57957100	+	3183	1000	Smp_244370	olap	0.0		-0.01903443890968669	0.0024918607728610844	0.059804658548666026	37.0	57878821.0	57986377.0	-	107556	0.12383312721691488	0.0021082908469109924	False	olap	olap
head5	SM_V7_ZW	39102731	39103731	-	3186	1000	Smp_079960	gh	3034.0			0.0	0.0024918607728610844	2.0	39097332.0	39100397.0	-	3065	1.3365804602230418	0.0032520205844842865	True	hg	hg
head6	SM_V7_ZW	8039240	8040240	+	3183	1000	Smp_303950	olap	0.0		0.13246012340049948	0.0	0.08472326627727687	122.0	7972240.0	8041705.0	-	69465	0.6469547115604931	0.007676645870471057	False	olap	olap
head7	SM_V7_ZW	84622062	84623062	+	3183	1000	Smp_026540	olap	0.0	0.09349055522418977		0.019934886182888675	0.012459303864305422	113.0	84545876.0	84641919.0	+	96043	0.3402461623991364	0.023324790300200064	True	olap	olap
head8	SM_V7_ZW	2749182	2750182	-	3186	1000	Smp_130660	olap	0.0		0.30163077341799605	0.0	0.014951164637166506	0.0	2718322.0	2780093.0	+	61771	0.11694653446640467	0.0035499465446856204	False	olap	olap
head9	SM_V7_ZW	67334580	67335580	+	3183	1000	Smp_244080	gh	9526.0		0.4457679226960337	0.0024918607728610844	0.059804658548666026	27.0	67105199.0	67325054.0	-	219855	0.2950042173069901	0.0060750830058608676	False	hg	gh
head10	SM_V7_ZW	73827843	73828843	-	3183	1000	Smp_345400	gh	15468.0			0.0	0.004983721545722169	221.0	73797076.0	73813075.0	+	15999	1.806711979823025	0.0066972944079646615	False	gh	hg
