head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	complement_correlation	transcription	complement_transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	gene_complement_transcription	same_strand	gene_stream	head_stream
head0	SM_V7_ZW	20314110	20314310	-	3183	200	Smp_134290	olap	0.0		0.4297697600943297	0.0	0.2741046850147193		20300499.0	20331294.0	+	30795	1.2878862172708887	0.002346613489624012	False	olap	olap
head1	SM_V7_ZW	17123908	17124108	-	3186	200	Smp_343250	hg	9299.0			0.0	0.0		17133407.0	17184102.0	-	50695	0.06316285813446086	0.012927495478103663	True	gh	gh
head2	SM_V7_ZW	57479248	57479448	-	3180	200	Smp_244380	olap	0.0			0.0	0.0		57400306.0	57496018.0	-	95712	0.8842783679186176	0.003410583429923124	True	olap	olap
head3	SM_V7_ZW	14905745	14905945	-	3186	200	Smp_346990	olap	0.0		0.48125541523645604	0.03737791159291626	0.32394190047194105		14888566.0	14917334.0	+	28768	1.4835268164902595	0.0019922413019954443	False	olap	olap
head4	SM_V7_ZW	57956100	57956300	+	3183	200	Smp_244370	olap	0.0		0.092872732234945	0.012459303864305422	0.1619709502359705		57878821.0	57986377.0	-	107556	0.12383312721691488	0.0021082908469109924	False	olap	olap
head5	SM_V7_ZW	39103531	39103731	-	3186	200	Smp_079960	gh	3134.0			0.0	0.0		39097332.0	39100397.0	-	3065	1.3365804602230418	0.0032520205844842865	True	hg	hg
head6	SM_V7_ZW	8039240	8039440	+	3183	200	Smp_303950	olap	0.0		0.16609199863980376	0.0	0.2118081656931922		7972240.0	8041705.0	-	69465	0.6469547115604931	0.0076766458704710565	False	olap	olap
head7	SM_V7_ZW	84622062	84622262	+	3183	200	Smp_026540	olap	0.0			0.0	0.012459303864305422		84545876.0	84641919.0	+	96043	0.3402461623991364	0.023324790300200064	True	olap	olap
head8	SM_V7_ZW	2749982	2750182	-	3186	200	Smp_130660	olap	0.0			0.0	0.024918607728610844		2718322.0	2780093.0	+	61771	0.11694653446640467	0.0035499465446856204	False	olap	olap
head9	SM_V7_ZW	67334580	67334780	+	3183	200	Smp_244080	gh	9526.0		0.2703448125612472	0.0	0.09967443091444338		67105199.0	67325054.0	-	219855	0.2950042173069901	0.006075083005860868	False	hg	gh
head10	SM_V7_ZW	73828643	73828843	-	3183	200	Smp_345400	gh	15568.0			0.0	0.024918607728610844		73797076.0	73813075.0	+	15999	1.806711979823025	0.0066972944079646615	False	gh	hg
head11	SM_V7_ZW	38967507	38967707	+	3186	200	Smp_242440	olap	0.0		0.441170605191696	0.012459303864305422	0.07475582318583253		38942546.0	38971377.0	-	28831	0.08314557467629853	0.01400164563155963	False	olap	olap
head12	SM_V7_ZW	50022717	50022917	+	3183	200	Smp_074710	olap	0.0	0.4227532558715634		0.14951164637166506	0.0		50001606.0	50045703.0	+	44097	0.4130215295562434	0.007911207297561099	True	olap	olap
